Date(UTC),UnixTimeStamp,Supply,MarketCap,Price
7/30/15,1438214400,72049306.59,0,0
7/31/15,1438300800,72085498.31,0,0
8/1/15,1438387200,72113204.25,0,0
8/2/15,1438473600,72141427.69,0,0
8/3/15,1438560000,72169404.41,0,0
8/4/15,1438646400,72197882.84,0,0
8/5/15,1438732800,72225411.44,0,0
8/6/15,1438819200,72252486.91,0,0
8/7/15,1438905600,72279924.56,216.8397737,3
8/8/15,1438992000,72307868,86.7694416,1.2
8/9/15,1439078400,72335046.28,86.80205554,1.2
8/10/15,1439164800,72362863.63,0,0
8/11/15,1439251200,72390891.44,71.66698252,0.99
8/12/15,1439337600,72418262.38,93.41955846,1.29
8/13/15,1439424000,72446530.5,136.1994773,1.88
8/14/15,1439510400,72477637.22,129.7349706,1.79
8/15/15,1439596800,72506149.88,129.7860083,1.79
8/17/15,1439769600,72534268.78,94.29454942,1.3
8/16/15,1439683200,72561363.31,99.40906774,1.37
8/18/15,1439856000,72587526.13,98.71903553,1.36
8/19/15,1439942400,72614808.16,90.04236211,1.24
8/20/15,1440028800,72635865.19,110.4065151,1.52
8/21/15,1440115200,72662556.13,104.6340808,1.44
8/22/15,1440201600,72690106.59,101.7661492,1.4
8/23/15,1440288000,72716362.22,98.167089,1.35
8/24/15,1440374400,72743695.5,90.20218242,1.24
8/25/15,1440460800,72770431.59,92.41844812,1.27
8/26/15,1440547200,72796569.56,85.89995208,1.18
8/27/15,1440633600,72821102.38,83.01605671,1.14
8/28/15,1440720000,72845327.53,94.69892579,1.3
8/29/15,1440806400,72867852.53,85.98406599,1.18
8/30/15,1440892800,72889306.13,96.21388409,1.32
8/31/15,1440979200,72910599.56,95.51288543,1.31
9/1/15,1441065600,72930942.53,99.18608184,1.36
9/2/15,1441152000,72949329.88,83.16223606,1.14
9/3/15,1441238400,72966710.81,89.7490543,1.23
9/4/15,1441324800,72989792.69,98.53622013,1.35
9/5/15,1441411200,73015421.75,100.0311278,1.37
9/6/15,1441497600,73041590.03,97.87573064,1.34
9/7/15,1441584000,73067050.5,93.52582464,1.28
9/8/15,1441670400,73092943,92.09710818,1.26
9/9/15,1441756800,73119370.66,88.47443849,1.21
9/10/15,1441843200,73145814.88,87.0435197,1.19
9/11/15,1441929600,73173054.72,67.31921034,0.92
9/12/15,1442016000,73199455.81,84.17937418,1.15
9/13/15,1442102400,73225627.22,65.17080822,0.89
9/14/15,1442188800,73251215.34,70.32116673,0.96
9/15/15,1442275200,73276830.66,69.61298912,0.95
9/16/15,1442361600,73303148.78,68.90495985,0.94
9/17/15,1442448000,73328584.41,64.52915428,0.88
9/18/15,1442534400,73354486.13,62.35131321,0.85
9/19/15,1442620800,73381665.81,65.30968257,0.89
9/20/15,1442707200,73409648.47,65.33458714,0.89
9/21/15,1442793600,73436300.34,69.03012232,0.94
9/22/15,1442880000,73462670.66,59.50476323,0.81
9/23/15,1442966400,73489750.97,66.87567338,0.91
9/24/15,1443052800,73516136.75,58.8129094,0.8
9/25/15,1443139200,73543140.19,50.00933533,0.68
9/26/15,1443225600,73569050.5,56.64816889,0.77
9/27/15,1443312000,73594061.59,51.51584312,0.7
9/28/15,1443398400,73618775.81,44.17126549,0.6
9/29/15,1443484800,73643144.25,50.07733809,0.68
9/30/15,1443571200,73668238,52.30444898,0.71
10/1/15,1443657600,73695660.03,47.90217902,0.65
10/2/15,1443744000,73722573.16,48.65689828,0.66
10/3/15,1443830400,73749026.91,50.1493383,0.68
10/4/15,1443916800,73774507.06,45.00244931,0.61
10/5/15,1444003200,73800643.94,45.0183928,0.61
10/6/15,1444089600,73825680.5,47.98669233,0.65
10/7/15,1444176000,73851814.09,44.31108846,0.6
10/8/15,1444262400,73878596.28,45.80472969,0.62
10/9/15,1444348800,73904043.94,47.29858812,0.64
10/10/15,1444435200,73929543.63,47.31490792,0.64
10/11/15,1444521600,73956054.41,44.37363264,0.6
10/12/15,1444608000,73982854.41,46.60919828,0.63
10/13/15,1444694400,74009522.69,44.40571361,0.6
10/14/15,1444780800,74035398.31,37.01769916,0.5
10/15/15,1444867200,74061008.78,41.47416492,0.56
10/16/15,1444953600,74086450.19,39.2658186,0.53
10/17/15,1445040000,74112900.81,38.53870842,0.52
10/18/15,1445126400,74138749.09,37.81076204,0.51
10/19/15,1445212800,74164715.81,37.08235791,0.5
10/20/15,1445299200,74190908.31,32.64399966,0.44
10/22/15,1445472000,74216239.09,45.27190585,0.61
10/21/15,1445385600,74242285.5,31.18175991,0.42
10/23/15,1445558400,74269844.09,41.59111269,0.56
10/24/15,1445644800,74296959.09,41.60629709,0.56
10/25/15,1445731200,74323773.31,46.08073945,0.62
10/26/15,1445817600,74349688.63,52.78827892,0.71
10/27/15,1445904000,74377214.88,61.73308835,0.83
10/28/15,1445990400,74403563.31,73.65952768,0.99
10/29/15,1446076800,74431070.34,83.36279879,1.12
10/30/15,1446163200,74458794.25,84.88302545,1.14
10/31/15,1446249600,74486542.06,64.80329159,0.87
11/1/15,1446336000,74514722.22,73.769575,0.99
11/2/15,1446422400,74541856.44,73.79643787,0.99
11/3/15,1446508800,74569462.22,79.04362995,1.06
11/4/15,1446595200,74597178.63,59.6777429,0.8
11/5/15,1446681600,74624470.03,65.66953363,0.88
11/6/15,1446768000,74651892.22,73.9053733,0.99
11/7/15,1446854400,74678607.53,69.451105,0.93
11/8/15,1446940800,74705896.59,74.70589659,1
11/9/15,1447027200,74732956.13,74.73295613,1
11/10/15,1447113600,74760400.19,67.28436017,0.9
11/11/15,1447200000,74788226.75,56.09117006,0.75
11/12/15,1447286400,74816251.28,65.83830113,0.88
11/13/15,1447372800,74844436.44,67.35999279,0.9
11/14/15,1447459200,74872794.09,65.8880588,0.88
11/15/15,1447545600,74900914.25,68.90884111,0.92
11/16/15,1447632000,74928309.41,69.68332775,0.93
11/17/15,1447718400,74956103,74.956103,1
11/18/15,1447804800,74983355.03,74.98335503,1
11/19/15,1447891200,75009918.47,70.50932336,0.94
11/20/15,1447977600,75035048.94,69.03224502,0.92
11/21/15,1448064000,75061831.13,72.05935788,0.96
11/22/15,1448150400,75088819.72,72.83615513,0.97
11/23/15,1448236800,75116092.06,69.1068047,0.92
11/24/15,1448323200,75142940.19,68.38007557,0.91
11/25/15,1448409600,75169412.06,65.39738849,0.87
11/26/15,1448496000,75195950.5,64.66851743,0.86
11/27/15,1448582400,75223837.38,66.19697689,0.88
11/28/15,1448668800,75251045.34,68.47845126,0.91
11/29/15,1448755200,75278393.16,65.49220205,0.87
11/30/15,1448841600,75305749.41,66.26905948,0.88
12/1/15,1448928000,75333292.22,65.53996423,0.87
12/3/15,1449100800,75361355.5,62.54992507,0.83
12/2/15,1449014400,75387362.53,61.81763728,0.82
12/4/15,1449187200,75414041.91,63.3477952,0.84
12/5/15,1449273600,75440623.78,65.63334269,0.87
12/6/15,1449360000,75466879.56,62.63751004,0.83
12/7/15,1449446400,75493598.47,59.63994279,0.79
12/8/15,1449532800,75519910.97,61.17112788,0.81
12/9/15,1449619200,75548235.03,61.19407038,0.81
12/10/15,1449705600,75575712.38,63.4835984,0.84
12/11/15,1449792000,75602735.19,68.04246167,0.9
12/12/15,1449878400,75629941.75,72.60474408,0.96
12/13/15,1449964800,75657849.09,69.60522117,0.92
12/14/15,1450051200,75684557.69,74.92771211,0.99
12/15/15,1450137600,75711572.22,75.71157222,1
12/16/15,1450224000,75738029.56,60.59042365,0.8
12/17/15,1450310400,75764912.69,71.21901793,0.94
12/18/15,1450396800,75791584.25,68.21242583,0.9
12/19/15,1450483200,75818278.78,67.47826812,0.89
12/20/15,1450569600,75844714.88,81.15384492,1.07
12/21/15,1450656000,75871172.69,69.04276715,0.91
12/22/15,1450742400,75898547.06,66.79072142,0.88
12/23/15,1450828800,75925946.44,66.0555734,0.87
12/24/15,1450915200,75952633,66.07879071,0.87
12/25/15,1451001600,75979436.59,66.8619042,0.88
12/26/15,1451088000,76005996.75,64.60509724,0.85
12/27/15,1451174400,76032850.5,69.95022246,0.92
12/28/15,1451260800,76059908.47,66.17212037,0.87
12/29/15,1451347200,76086569.56,65.43444982,0.86
12/30/15,1451433600,76113305.81,67.74084217,0.89
12/31/15,1451520000,76140217.84,72.33320695,0.95
1/1/16,1451606400,76166284.41,70.07298165,0.92
1/2/16,1451692800,76193668.31,72.3839849,0.95
1/3/16,1451779200,76221344.09,73.17249033,0.96
1/4/16,1451865600,76248764.72,72.43632648,0.95
1/5/16,1451952000,76276603.94,71.7000077,0.94
1/6/16,1452038400,76304229.41,72.48901794,0.95
1/7/16,1452124800,76331251.59,71.7513765,0.94
1/8/16,1452211200,76359248.31,75.59565583,0.99
1/9/16,1452297600,76386844.09,75.62297565,0.99
1/10/16,1452384000,76414132.06,76.41413206,1
1/11/16,1452470400,76441137.22,82.5564282,1.08
1/12/16,1452556800,76467038,93.28978636,1.22
1/13/16,1452643200,76493573.31,87.20267358,1.14
1/14/16,1452729600,76520492.53,88.76377134,1.16
1/15/16,1452816000,76547289.88,91.85674785,1.2
1/16/16,1452902400,76573813,93.42005186,1.22
1/17/16,1452988800,76600412.84,100.3465408,1.31
1/18/16,1453075200,76627033,112.6417385,1.47
1/19/16,1453161600,76653125.81,93.51681349,1.22
1/20/16,1453248000,76679668.31,118.0866892,1.54
1/21/16,1453334400,76705587.53,118.1266048,1.54
1/22/16,1453420800,76731842.53,116.6324006,1.52
1/23/16,1453507200,76757612.22,155.8179528,2.03
1/24/16,1453593600,76784855.19,161.2481959,2.1
1/25/16,1453680000,76810552.22,192.0263805,2.5
1/26/16,1453766400,76837541.44,176.7263453,2.3
1/27/16,1453852800,76863642.22,186.0100142,2.42
1/28/16,1453939200,76890206.91,196.0700276,2.55
1/29/16,1454025600,76916367.38,185.3684454,2.41
1/30/16,1454112000,76942560.5,187.7398476,2.44
1/31/16,1454198400,76968242.38,169.3301332,2.2
2/1/16,1454284800,76994673.63,167.0784418,2.17
2/2/16,1454371200,77020542.06,188.7003281,2.45
2/3/16,1454457600,77047840.03,194.9310353,2.53
2/4/16,1454544000,77074402.38,198.0812141,2.57
2/5/16,1454630400,77100960.97,197.3784601,2.56
2/6/16,1454716800,77127306.75,195.1320861,2.53
2/7/16,1454803200,77153991.44,231.4619743,3
2/8/16,1454889600,77180646.44,243.8908427,3.16
2/9/16,1454976000,77207117.53,290.2987619,3.76
2/10/16,1455062400,77233278.78,335.9647627,4.35
2/11/16,1455148800,77259756.59,492.9172471,6.38
2/13/16,1455321600,77286638.16,403.4362512,5.22
2/12/16,1455235200,77313140.19,407.4402488,5.27
2/14/16,1455408000,77339469.25,402.1652401,5.2
2/15/16,1455494400,77365694.56,403.8489256,5.22
2/16/16,1455580800,77392140.34,328.9165965,4.25
2/17/16,1455667200,77417812.38,298.8327558,3.86
2/18/16,1455753600,77444027.22,337.6559587,4.36
2/19/16,1455840000,77470682.69,344.744538,4.45
2/20/16,1455926400,77497243.47,338.662954,4.37
2/21/16,1456012800,77523780.03,358.9351015,4.63
2/22/16,1456099200,77550537.84,434.2830119,5.6
2/23/16,1456185600,77576707.84,442.1872347,5.7
2/24/16,1456272000,77603134.72,483.4675293,6.23
2/25/16,1456358400,77629958.47,460.3456537,5.93
2/26/16,1456444800,77656612.53,468.2693736,6.03
2/27/16,1456531200,77682812.38,490.1785461,6.31
2/28/16,1456617600,77709234.41,505.1100236,6.5
2/29/16,1456704000,77734463.94,493.613846,6.35
3/1/16,1456790400,77760945.03,590.2055728,7.59
3/2/16,1456876800,77787589.25,676.7520265,8.7
3/3/16,1456963200,77813700.5,727.5580997,9.35
3/4/16,1457049600,77839585.81,775.2822747,9.96
3/5/16,1457136000,77866168,856.527848,11
3/6/16,1457222400,77891567.69,855.2494132,10.98
3/7/16,1457308800,77917553.16,740.216755,9.5
3/8/16,1457395200,77943376.28,770.0805577,9.88
3/9/16,1457481600,77969119.56,900.5433309,11.55
3/10/16,1457568000,77995747.06,866.5327499,11.11
3/11/16,1457654400,78022049.56,877.7480576,11.25
3/12/16,1457740800,78048419.72,1034.141561,13.25
3/13/16,1457827200,78075670.19,1171.135053,15
3/14/16,1457913600,78102078.16,976.275977,12.5
3/15/16,1458000000,78133301.75,1022.76492,13.09
3/16/16,1458086400,78164791.91,1009.889111,12.92
3/17/16,1458172800,78196816.44,871.1125351,11.14
3/18/16,1458259200,78228103.63,840.952114,10.75
3/19/16,1458345600,78260182.06,825.6449208,10.55
3/20/16,1458432000,78291777.22,787.6152788,10.06
3/21/16,1458518400,78323160.19,937.5282274,11.97
3/22/16,1458604800,78354872.06,858.7693978,10.96
3/23/16,1458691200,78386166.13,963.3659817,12.29
3/24/16,1458777600,78418237.22,872.7949802,11.13
3/25/16,1458864000,78450127.06,838.6318583,10.69
3/26/16,1458950400,78482062.38,863.3026861,11
3/27/16,1459036800,78513693.16,824.3937781,10.5
3/28/16,1459123200,78544999.72,909.5510967,11.58
3/29/16,1459209600,78576437.53,921.7016122,11.73
3/30/16,1459296000,78608138,933.8646794,11.88
3/31/16,1459382400,78639526.91,897.277002,11.41
4/1/16,1459468800,78671411.59,914.9485168,11.63
4/2/16,1459555200,78702492.84,913.7359419,11.61
4/3/16,1459641600,78734222.53,911.7422969,11.58
4/4/16,1459728000,78766175.66,874.3045498,11.1
4/5/16,1459814400,78797750.5,818.7086277,10.39
4/6/16,1459900800,78829013.16,850.565052,10.79
4/7/16,1459987200,78860180.5,794.9106194,10.08
4/8/16,1460073600,78892094.88,768.4090041,9.74
4/9/16,1460160000,78923008.47,722.9347576,9.16
4/10/16,1460246400,78954790.19,694.8021537,8.8
4/11/16,1460332800,78985756.75,688.7557989,8.72
4/12/16,1460419200,79017139.56,594.9990609,7.53
4/13/16,1460505600,79048625.66,633.9699778,8.02
4/14/16,1460592000,79080026.75,670.5986268,8.48
4/15/16,1460678400,79111760.19,650.2986687,8.22
4/16/16,1460764800,79143291.44,671.1351114,8.48
4/17/16,1460851200,79174794.56,748.2018086,9.45
4/18/16,1460937600,79206654.09,706.5233545,8.92
4/19/16,1461024000,79237980.66,694.9170904,8.77
4/20/16,1461110400,79269812.06,676.964195,8.54
4/21/16,1461196800,79301185.97,646.3046656,8.15
4/22/16,1461283200,79332762.69,621.1755318,7.83
4/23/16,1461369600,79364456.28,659.5186317,8.31
4/24/16,1461456000,79395951.28,635.1676103,8
4/25/16,1461542400,79428088.31,590.1506962,7.43
4/26/16,1461628800,79459376.13,595.9453209,7.5
4/27/16,1461715200,79491251.13,617.6470212,7.77
4/28/16,1461801600,79522933.63,580.5174155,7.3
4/29/16,1461888000,79554617.22,597.4551753,7.51
4/30/16,1461974400,79586508.94,702.7488739,8.83
5/1/16,1462060800,79617521.75,697.4494905,8.76
5/2/16,1462147200,79649433.31,798.8838161,10.03
5/3/16,1462233600,79681224.56,746.6130742,9.37
5/4/16,1462320000,79712683.31,751.6906036,9.43
5/5/16,1462406400,79744463.31,780.6982958,9.79
5/6/16,1462492800,79776200.97,739.525383,9.27
5/7/16,1462579200,79807774.09,742.2122991,9.3
5/8/16,1462665600,79839623.31,753.6860441,9.44
5/9/16,1462752000,79871424.72,744.4016784,9.32
5/10/16,1462838400,79903125.66,750.2903499,9.39
5/11/16,1462924800,79934378.78,796.9457564,9.97
5/12/16,1463011200,79966635.81,807.6630217,10.1
5/13/16,1463097600,79998832.53,838.3877649,10.48
5/14/16,1463184000,80030500.34,811.5092735,10.14
5/15/16,1463270400,80062308.94,795.8193508,9.94
5/16/16,1463356800,80093820.5,884.2357783,11.04
5/17/16,1463443200,80126012.69,982.3449155,12.26
5/18/16,1463529600,80158417.06,1065.305363,13.29
5/19/16,1463616000,80190320.66,1161.957746,14.49
5/20/16,1463702400,80222410.34,1101.453694,13.73
5/21/16,1463788800,80254249.88,1119.546786,13.95
5/22/16,1463875200,80286506.13,1140.871252,14.21
5/23/16,1463961600,80318586.75,1080.284992,13.45
5/24/16,1464048000,80350590.03,1014.024446,12.62
5/25/16,1464134400,80382947.06,1007.198327,12.53
5/26/16,1464220800,80414991.44,994.7334441,12.37
5/28/16,1464393600,80447310.03,929.970904,11.56
5/27/16,1464307200,80479631.75,894.1287087,11.11
5/29/16,1464480000,80511604.09,988.6824983,12.28
5/30/16,1464566400,80543608.16,1005.18423,12.48
5/31/16,1464652800,80575141.13,1115.965705,13.85
6/1/16,1464739200,80607285.34,1114.798756,13.83
6/2/16,1464825600,80639467.53,1111.211863,13.78
6/3/16,1464912000,80671739.72,1111.656573,13.78
6/4/16,1464998400,80703881.28,1102.415018,13.66
6/5/16,1465084800,80735464.41,1118.186182,13.85
6/6/16,1465171200,80767836.28,1127.518994,13.96
6/7/16,1465257600,80799782.22,1164.324862,14.41
6/8/16,1465344000,80832085.19,1167.21531,14.44
6/9/16,1465430400,80864311.13,1171.723868,14.49
6/10/16,1465516800,80895475.34,1130.109791,13.97
6/11/16,1465603200,80927850.81,1133.79919,14.01
6/12/16,1465689600,80960067.69,1260.548254,15.57
6/13/16,1465776000,80992291.91,1421.414723,17.55
6/14/16,1465862400,81024437.38,1515.156979,18.7
6/15/16,1465948800,81056304.41,1483.330371,18.3
6/16/16,1466035200,81088182.06,1671.227432,20.61
6/17/16,1466121600,81121598.47,1256.57356,15.49
6/18/16,1466208000,81155985.66,921.9319971,11.36
6/19/16,1466294400,81189181.13,1001.062603,12.33
6/20/16,1466380800,81220895.97,950.2844828,11.7
6/21/16,1466467200,81252884.41,1032.724161,12.71
6/22/16,1466553600,81285555.03,1073.782182,13.21
6/24/16,1466726400,81317726.91,1158.777608,14.25
6/23/16,1466640000,81349575.03,1104.727229,13.58
6/25/16,1466812800,81381260.97,1162.124407,14.28
6/26/16,1466899200,81413575.66,1125.135616,13.82
6/27/16,1466985600,81445670.5,1143.497214,14.04
6/28/16,1467072000,81477831.91,989.9556577,12.15
6/29/16,1467158400,81509701.91,1040.063796,12.76
6/30/16,1467244800,81541688,1011.116931,12.4
7/1/16,1467331200,81574306.28,997.6537658,12.23
7/2/16,1467417600,81606222.84,982.538923,12.04
7/3/16,1467504000,81638262.53,967.413411,11.85
7/4/16,1467590400,81670403.47,926.1423753,11.34
7/5/16,1467676800,81701981.28,853.7857044,10.45
7/6/16,1467763200,81734336.13,859.0278727,10.51
7/7/16,1467849600,81766232.06,823.3859569,10.07
7/8/16,1467936000,81798181.59,924.319452,11.3
7/9/16,1468022400,81830979.72,893.5942985,10.92
7/10/16,1468108800,81862945.19,898.0365087,10.97
7/11/16,1468195200,81894930.5,866.4483647,10.58
7/12/16,1468281600,81926691.59,863.5073294,10.54
7/13/16,1468368000,81958850.19,855.650396,10.44
7/14/16,1468454400,81990660.97,946.9921342,11.55
7/15/16,1468540800,82022545.66,974.4278424,11.88
7/16/16,1468627200,82054716.13,951.0141599,11.59
7/17/16,1468713600,82086493.47,918.5478619,11.19
7/18/16,1468800000,82118991.59,905.7724773,11.03
7/19/16,1468886400,82150765.5,955.4134028,11.63
7/20/16,1468972800,82182680.34,1030.570812,12.54
7/21/16,1469059200,82215464.09,1040.847775,12.66
7/22/16,1469145600,82247154.72,1218.902833,14.82
7/23/16,1469232000,82279549.72,1184.825516,14.4
7/24/16,1469318400,82311025.97,1039.588258,12.63
7/25/16,1469404800,82343017.53,1139.627363,13.84
7/26/16,1469491200,82373795.03,995.075444,12.08
7/27/16,1469577600,82406732.84,1075.407864,13.05
7/28/16,1469664000,82439087.06,1060.99105,12.87
7/29/16,1469750400,82471026.44,1061.40211,12.87
7/30/16,1469836800,82502668.16,1037.058539,12.57
7/31/16,1469923200,82534887.69,978.863768,11.86
8/1/16,1470009600,82566482.06,911.533962,11.04
8/2/16,1470096000,82597837.22,685.5620489,8.3
8/3/16,1470182400,82629544.88,860.9998576,10.42
8/4/16,1470268800,82662397.69,926.6454781,11.21
8/5/16,1470355200,82694629.72,913.7756584,11.05
8/6/16,1470441600,82726219.56,905.8521042,10.95
8/7/16,1470528000,82758510.66,908.688447,10.98
8/8/16,1470614400,82790686.59,934.7068516,11.29
8/10/16,1470787200,82822849.56,1012.095222,12.22
8/9/16,1470700800,82855515.97,1012.494405,12.22
8/11/16,1470873600,82887720.81,968.1285791,11.68
8/12/16,1470960000,82919824.09,976.7955278,11.78
8/13/16,1471046400,82951823,958.9230739,11.56
8/14/16,1471132800,82983791.91,930.2483073,11.21
8/15/16,1471219200,83016120.81,930.6107143,11.21
8/16/16,1471305600,83048158,927.6479249,11.17
8/17/16,1471392000,83080152.53,894.7732428,10.77
8/18/16,1471478400,83112941.59,895.126381,10.77
8/19/16,1471564800,83144783,890.4806259,10.71
8/20/16,1471651200,83177018.63,938.2367701,11.28
8/21/16,1471737600,83209710.97,926.9561802,11.14
8/22/16,1471824000,83242003.78,921.4889819,11.07
8/23/16,1471910400,83274187.69,916.8488064,11.01
8/24/16,1471996800,83306461.13,917.204137,11.01
8/25/16,1472083200,83338596.75,945.8930731,11.35
8/26/16,1472169600,83370468.16,938.7514714,11.26
8/27/16,1472256000,83402774.56,933.2770474,11.19
8/28/16,1472342400,83434802.53,916.9484798,10.99
8/29/16,1472428800,83466728.94,913.9606819,10.95
8/30/16,1472515200,83498603.78,936.0193484,11.21
8/31/16,1472601600,83530738.31,964.7800275,11.55
9/1/16,1472688000,83562483,1020.297917,12.21
9/2/16,1472774400,83594867.06,1009.825994,12.08
9/3/16,1472860800,83626363,990.9724016,11.85
9/4/16,1472947200,83658227.06,979.6378389,11.71
9/5/16,1473033600,83690416.75,983.3623968,11.75
9/6/16,1473120000,83722098.16,979.5485484,11.7
9/7/16,1473206400,83754365.97,970.7131016,11.59
9/8/16,1473292800,83786274.56,954.3256673,11.39
9/9/16,1473379200,83818491.44,982.3527196,11.72
9/10/16,1473465600,83850322.06,1010.396381,12.05
9/11/16,1473552000,83882675.03,976.3943374,11.64
9/12/16,1473638400,83914912.06,997.7483044,11.89
9/13/16,1473724800,83946816.91,1000.646058,11.92
9/14/16,1473811200,83979345.66,1005.232768,11.97
9/15/16,1473897600,84011528.47,1004.77788,11.96
9/16/16,1473984000,84043767.53,1059.791909,12.61
9/17/16,1474070400,84075922.53,1078.694086,12.83
9/18/16,1474156800,84105496.44,1042.067101,12.39
9/19/16,1474243200,84139773.31,1087.927269,12.93
9/20/16,1474329600,84172265.81,1239.015753,14.72
9/21/16,1474416000,84204349.56,1155.283676,13.72
9/22/16,1474502400,84235955.19,1104.333373,13.11
9/23/16,1474588800,84270235.19,1125.850342,13.36
